,Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,CO,PM10,NO2,AQI category,city,state
0,01/01/2023,28,Ozone,Connecticut Hill,36-109-9991,AQS,28,.,,,,Good,Ithaca,NY
1,01/02/2023,26,Ozone,Connecticut Hill,36-109-9991,AQS,26,.,,,,Good,Ithaca,NY
2,01/03/2023,21,Ozone,Connecticut Hill,36-109-9991,AQS,21,.,,,,Good,Ithaca,NY
3,01/04/2023,25,Ozone,Connecticut Hill,36-109-9991,AQS,25,.,,,,Good,Ithaca,NY
4,01/05/2023,31,Ozone,Connecticut Hill,36-109-9991,AQS,31,.,,,,Good,Ithaca,NY
5,01/06/2023,27,Ozone,Connecticut Hill,36-109-9991,AQS,27,.,,,,Good,Ithaca,NY
6,01/07/2023,27,Ozone,Connecticut Hill,36-109-9991,AQS,27,.,,,,Good,Ithaca,NY
7,01/08/2023,29,Ozone,Connecticut Hill,36-109-9991,AQS,29,.,,,,Good,Ithaca,NY
8,01/09/2023,32,Ozone,Connecticut Hill,36-109-9991,AQS,32,.,,,,Good,Ithaca,NY
9,01/10/2023,28,Ozone,Connecticut Hill,36-109-9991,AQS,28,.,,,,Good,Ithaca,NY
10,01/11/2023,25,Ozone,Connecticut Hill,36-109-9991,AQS,25,.,,,,Good,Ithaca,NY
11,01/12/2023,25,Ozone,Connecticut Hill,36-109-9991,AQS,25,.,,,,Good,Ithaca,NY
12,01/13/2023,29,Ozone,Connecticut Hill,36-109-9991,AQS,29,.,,,,Good,Ithaca,NY
13,01/14/2023,31,Ozone,Connecticut Hill,36-109-9991,AQS,31,.,,,,Good,Ithaca,NY
14,01/15/2023,31,Ozone,Connecticut Hill,36-109-9991,AQS,31,.,,,,Good,Ithaca,NY
15,01/16/2023,40,Ozone,Connecticut Hill,36-109-9991,AQS,40,.,,,,Good,Ithaca,NY
16,01/17/2023,38,Ozone,Connecticut Hill,36-109-9991,AQS,38,.,,,,Good,Ithaca,NY
17,01/18/2023,18,Ozone,Connecticut Hill,36-109-9991,AQS,18,.,,,,Good,Ithaca,NY
18,01/19/2023,19,Ozone,Connecticut Hill,36-109-9991,AQS,19,.,,,,Good,Ithaca,NY
19,01/20/2023,26,Ozone,Connecticut Hill,36-109-9991,AQS,26,.,,,,Good,Ithaca,NY
20,01/21/2023,30,Ozone,Connecticut Hill,36-109-9991,AQS,30,.,,,,Good,Ithaca,NY
21,01/22/2023,24,Ozone,Connecticut Hill,36-109-9991,AQS,24,.,,,,Good,Ithaca,NY
22,01/23/2023,29,Ozone,Connecticut Hill,36-109-9991,AQS,29,.,,,,Good,Ithaca,NY
23,01/24/2023,30,Ozone,Connecticut Hill,36-109-9991,AQS,30,.,,,,Good,Ithaca,NY
24,01/25/2023,28,Ozone,Connecticut Hill,36-109-9991,AQS,28,.,,,,Good,Ithaca,NY
25,01/26/2023,28,Ozone,Connecticut Hill,36-109-9991,AQS,28,.,,,,Good,Ithaca,NY
26,01/27/2023,31,Ozone,Connecticut Hill,36-109-9991,AQS,31,.,,,,Good,Ithaca,NY
27,01/28/2023,35,Ozone,Connecticut Hill,36-109-9991,AQS,35,.,,,,Good,Ithaca,NY
28,01/29/2023,35,Ozone,Connecticut Hill,36-109-9991,AQS,35,.,,,,Good,Ithaca,NY
29,01/30/2023,30,Ozone,Connecticut Hill,36-109-9991,AQS,30,.,,,,Good,Ithaca,NY
30,01/31/2023,35,Ozone,Connecticut Hill,36-109-9991,AQS,35,.,,,,Good,Ithaca,NY
31,02/01/2023,36,Ozone,Connecticut Hill,36-109-9991,AQS,36,.,,,,Good,Ithaca,NY
32,02/02/2023,37,Ozone,Connecticut Hill,36-109-9991,AQS,37,.,,,,Good,Ithaca,NY
33,02/03/2023,34,Ozone,Connecticut Hill,36-109-9991,AQS,34,.,,,,Good,Ithaca,NY
34,02/04/2023,31,Ozone,Connecticut Hill,36-109-9991,AQS,31,.,,,,Good,Ithaca,NY
35,02/05/2023,36,Ozone,Connecticut Hill,36-109-9991,AQS,36,.,,,,Good,Ithaca,NY
36,02/06/2023,30,Ozone,Connecticut Hill,36-109-9991,AQS,30,.,,,,Good,Ithaca,NY
37,02/07/2023,31,Ozone,Connecticut Hill,36-109-9991,AQS,31,.,,,,Good,Ithaca,NY
38,02/08/2023,37,Ozone,Connecticut Hill,36-109-9991,AQS,37,.,,,,Good,Ithaca,NY
39,02/09/2023,34,Ozone,Connecticut Hill,36-109-9991,AQS,34,.,,,,Good,Ithaca,NY
40,02/10/2023,33,Ozone,Connecticut Hill,36-109-9991,AQS,33,.,,,,Good,Ithaca,NY
41,02/11/2023,33,Ozone,Connecticut Hill,36-109-9991,AQS,33,.,,,,Good,Ithaca,NY
42,02/12/2023,38,Ozone,Connecticut Hill,36-109-9991,AQS,38,.,,,,Good,Ithaca,NY
43,02/13/2023,40,Ozone,Connecticut Hill,36-109-9991,AQS,40,.,,,,Good,Ithaca,NY
